|level|customer_id|company_name|contact_name|contact_title|address|city|region|postal_code|country|phone|fax
43|Padrão|SUPRD|Suprêmes délices|Pascale Cartrain|Accounting Manager|Boulevard Tirou, 255|Charleroi||B-6000|Belgium|(071) 23 67 22 20|(071) 23 67 22 21
44|Padrão|COMMI|Comércio Mineiro|Pedro Afonso|Sales Associate|Av. dos Lusíadas, 23|Sao Paulo|SP|05432-043|Brazil|(11) 555-7647|
45|Padrão|TRADH|Tradição Hipermercados|Anabela Domingues|Sales Representative|Av. Inês de Castro, 414|Sao Paulo|SP|05634-030|Brazil|(11) 555-2167|(11) 555-2168
46|Basic|CENTC|Centro comercial Moctezuma|Francisco Chang|Marketing Manager|Sierras de Granada 9993|México D.F.||05022|Mexico|(5) 555-3392|(5) 555-7293
47|Padrão|GREAL|Great Lakes Food Market|Howard Snyder|Marketing Manager|2732 Baker Blvd.|Eugene|OR|97403|USA|(503) 555-7555|
48|Padrão|SIMOB|Simons bistro|Jytte Petersen|Owner|Vinbæltet 34|Kobenhavn||1734|Denmark|31 12 34 56|31 13 35 57
49|Padrão|HUNGC|Hungry Coyote Import Store|Yoshi Latimer|Sales Representative|City Center Plaza 516 Main St.|Elgin|OR|97827|USA|(503) 555-6874|(503) 555-2376
50|Padrão|LILAS|LILA-Supermercado|Carlos González|Accounting Manager|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela|(9) 331-6954|(9) 331-7256
51|Padrão|WHITC|White Clover Markets|Karl Jablonski|Owner|305 - 14th Ave. S. Suite 3B|Seattle|WA|98128|USA|(206) 555-4112|(206) 555-4115
52|Padrão|RICSU|Richter Supermarkt|Michael Holz|Sales Manager|Grenzacherweg 237|Genève||1203|Switzerland|0897-034214|
53|Padrão|BOTTM|Bottom-Dollar Markets|Elizabeth Lincoln|Accounting Manager|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada|(604) 555-4729|(604) 555-3745
54|Padrão|LONEP|Lonesome Pine Restaurant|Fran Wilson|Sales Manager|89 Chiaroscuro Rd.|Portland|OR|97219|USA|(503) 555-9573|(503) 555-9646
55|Super|WARTH|Wartian Herkku|Pirkko Koskitalo|Accounting Manager|Torikatu 38|Oulu||90110|Finland|981-443655|981-443655
56|Padrão|GALED|Galería del gastrónomo|Eduardo Saavedra|Marketing Manager|Rambla de Cataluña, 23|Barcelona||08022|Spain|(93) 203 4560|(93) 203 4561
57|Super|RATTC|Rattlesnake Canyon Grocery|Paula Wilson|Assistant Sales Representative|2817 Milton Dr.|Albuquerque|NM|87110|USA|(505) 555-5939|(505) 555-3620
58|Padrão|WELLI|Wellington Importadora|Paula Parente|Sales Manager|Rua do Mercado, 12|Resende|SP|08737-363|Brazil|(14) 555-8122|
59|Padrão|PRINI|Princesa Isabel Vinhos|Isabel de Castro|Sales Representative|Estrada da saúde n. 58|Lisboa||1756|Portugal|(1) 356-5634|
60|Padrão|RANCH|Rancho grande|Sergio Gutiérrez|Sales Representative|Av. del Libertador 900|Buenos Aires||1010|Argentina|(1) 123-5555|(1) 123-5556
61|Padrão|PERIC|Pericles Comidas clásicas|Guillermo Fernández|Sales Representative|Calle Dr. Jorge Cash 321|México D.F.||05033|Mexico|(5) 552-3745|(5) 545-3745
62|Padrão|ISLAT|Island Trading|Helen Bennett|Marketing Manager|Garden House Crowther Way|Cowes|Isle of Wight|PO31 7PJ|UK|(198) 555-8888|
63|Padrão|VICTE|Victuailles en stock|Mary Saveley|Sales Agent|2, rue du Commerce|Lyon||69004|France|78.32.54.86|78.32.54.87
64|Padrão|FOLIG|Folies gourmandes|Martine Rancé|Assistant Sales Agent|184, chaussée de Tournai|Lille||59000|France|20.16.10.16|20.16.10.17
65|Padrão|LINOD|LINO-Delicateses|Felipe Izquierdo|Owner|Ave. 5 de Mayo Porlamar|I. de Margarita|Nueva Esparta|4980|Venezuela|(8) 34-56-12|(8) 34-93-93
66|Basic|LAZYK|Lazy K Kountry Store|John Steel|Marketing Manager|12 Orchestra Terrace|Walla Walla|WA|99362|USA|(509) 555-7969|(509) 555-6221
67|Super|QUICK|QUICK-Stop|Horst Kloss|Accounting Manager|Taucherstraße 10|Cunewalde||01307|Germany|0372-035188|
68|Basic|THEBI|The Big Cheese|Liz Nixon|Marketing Manager|89 Jefferson Way Suite 2|Portland|OR|97201|USA|(503) 555-3612|
69|Basic|LACOR|La corne d'abondance|Daniel Tonini|Sales Representative|67, avenue de l'Europe|Versailles||78000|France|30.59.84.10|30.59.85.11
70|Basic|FRANR|France restauration|Carine Schmitt|Marketing Manager|54, rue Royale|Nantes||44000|France|40.32.21.21|40.32.21.20
71|Padrão|MEREP|Mère Paillarde|Jean Fresnière|Marketing Assistant|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada|(514) 555-8054|(514) 555-8055
72|Padrão|BLAUS|Blauer See Delikatessen|Hanna Moos|Sales Representative|Forsterstr. 57|Mannheim||68306|Germany|0621-08460|0621-08924
73|Padrão|DRACD|Drachenblut Delikatessen|Sven Ottlieb|Order Administrator|Walserweg 21|Aachen||52066|Germany|0241-039123|0241-059428
74|Basic|NORTS|North/South|Simon Crowther|Sales Associate|South House 300 Queensbridge|London||SW7 1RZ|UK|(171) 555-7733|(171) 555-2530
75|Padrão|SEVES|Seven Seas Imports|Hari Kumar|Sales Manager|90 Wadhurst Rd.|London||OX15 4NB|UK|(171) 555-1717|(171) 555-5646
76|Super|FOLKO|Folk och fä HB|Maria Larsson|Owner|Åkergatan 24|Bräcke||S-844 67|Sweden|0695-34 67 21|
77|Padrão|OCEAN|Océano Atlántico Ltda.|Yvonne Moncada|Sales Agent|Ing. Gustavo Moncada 8585 Piso 20-A|Buenos Aires||1010|Argentina|(1) 135-5333|(1) 135-5535
78|Super|SAVEA|Save-a-lot Markets|Jose Pavarotti|Sales Representative|187 Suffolk Ln.|Boise|ID|83720|USA|(208) 555-8097|
79|Basic|LETSS|Let's Stop N Shop|Jaime Yorres|Owner|87 Polk St. Suite 5|San Francisco|CA|94117|USA|(415) 555-5938|
80|Padrão|VAFFE|Vaffeljernet|Palle Ibsen|Sales Manager|Smagsloget 45|Århus||8200|Denmark|86 21 32 43|86 22 33 44
81|Padrão|EASTC|Eastern Connection|Ann Devon|Sales Agent|35 King George|London||WX3 6FW|UK|(171) 555-0297|(171) 555-3373
82|Padrão|PICCO|Piccolo und mehr|Georg Pipps|Sales Manager|Geislweg 14|Salzburg||5020|Austria|6562-9722|6562-9723
83|Basic|SPECD|Spécialités du monde|Dominique Perrier|Marketing Manager|25, rue Lauriston|Paris||75016|France|(1) 47.55.60.10|(1) 47.55.60.20
84|Padrão|REGGC|Reggiani Caseifici|Maurizio Moroni|Sales Associate|Strada Provinciale 124|Reggio Emilia||42100|Italy|0522-556721|0522-556722
85|Padrão|QUEDE|Que Delícia|Bernardo Batista|Accounting Manager|Rua da Panificadora, 12|Rio de Janeiro|RJ|02389-673|Brazil|(21) 555-4252|(21) 555-4545
86|Padrão|LAMAI|La maison d'Asie|Annette Roulet|Sales Manager|1 rue Alsace-Lorraine|Toulouse||31000|France|61.77.61.10|61.77.61.11
87|Padrão|WANDK|Die Wandernde Kuh|Rita Müller|Sales Representative|Adenauerallee 900|Stuttgart||70563|Germany|0711-020361|0711-035428
88|Basic|TRAIH|Trail's Head Gourmet Provisioners|Helvetius Nagy|Sales Associate|722 DaVinci Blvd.|Kirkland|WA|98034|USA|(206) 555-8257|(206) 555-2174
